SchemaName,TableName,TotalRows
dbo,FactProductInventory,776286
dbo,FactInternetSalesReason,64515
dbo,FactResellerSales,60855
dbo,FactInternetSales_HP,60398
dbo,FactInternetSales_RS,60398
dbo,FactInternetSales_CS,60398
dbo,FactInternetSales,60398
dbo,FactFinance,39409
dbo,DimCustomer,18484
dbo,FactAdditionalInternationalProductDescription,15168
dbo,FactCurrencyRate,14264
dbo,DimDate,3652
dbo,FactSurveyResponse,2727
dbo,ProspectiveBuyer,2059
dbo,DimReseller,701
dbo,DimGeography,655
dbo,DimProduct,606
dbo,DimEmployee,296
dbo,FactSalesQuota,163
dbo,FactCallCenter,120
dbo,DimCurrency,105
dbo,DimAccount,99
dbo,DatabaseLog,96
dbo,NewFactCurrencyRate,50
dbo,DimProductSubcategory,37
dbo,DimPromotion,16
dbo,DimOrganization,14
dbo,DimSalesTerritory,11
dbo,DimSalesReason,10
dbo,sysdiagrams,9
dbo,DimDepartmentGroup,7
dbo,DimProductCategory,4
dbo,DimScenario,3
dbo,AdventureWorksDWBuildVersion,1
