Product,Subcategory,Category,TotalRevenue,TotalGrossProfit
"Racing Socks, L",Socks,Clothing,2427.30,1519.48
"Racing Socks, M",Socks,Clothing,2679.02,1677.05
Bike Wash - Dissolver,Cleaners,Accessories,7218.60,4518.84
Patch Kit/8 Patches,Tires and Tubes,Accessories,7307.39,4574.30
Touring Tire Tube,Tires and Tubes,Accessories,7425.12,4648.07
Road Tire Tube,Tires and Tubes,Accessories,9480.24,5934.54
"Classic Vest, S",Vests,Clothing,10668.00,6678.17
"Half-Finger Gloves, L",Gloves,Clothing,10849.07,6791.50
"Half-Finger Gloves, S",Gloves,Clothing,11951.12,7481.38
"Half-Finger Gloves, M",Gloves,Clothing,12220.51,7650.02
